"type:text:p","companyid:integer:p:company[companyname]","fakekilo:integer:p","realkilo:integer:p","fare:integer:n"
"C2","四国",4,3,160
"C2","四国",11,,230
"C2","四国",16,,280
"C2","四国",17,15,280
"C2","四国",21,,380
"C2","四国",22,,380
"C2","四国",26,23,470
"C2","四国",31,28,540
"C2","四国",36,32,640
"C2","四国",41,37,740
"C2","四国",46,41,830
"C2","四国",51,46,920
"C2","四国",61,55,1060
"C2","四国",71,64,1240
"C2","四国",81,73,1410
"C2","九州",4,3,170
"C2","九州",11,,240
"C2","九州",16,,280
"C2","九州",17,15,280
"C2","九州",21,,380
"C2","九州",22,,380
"C2","九州",26,23,470
"C2","九州",31,28,580
"C2","九州",36,32,690
"C2","九州",41,37,780
"C2","九州",46,41,880
"C2","九州",51,46,970
"C2","九州",61,55,1140
"C2","九州",71,64,1330
"C2","九州",81,73,1430
"C2","九州",91,82,1610
"C2","九州",101,91,1780
"C2","九州",121,,2250
"C2","九州",141,128,2600
"C2","九州",161,146,3010
"C2","九州",181,164,3520
"C3","四国",4,3,160
"C3","四国",11,1,230
"C3","九州",4,3,170
"C3","九州",11,1,240
