lineid:integer:p:line[linename],beginstation:integer:p:station[stationname],endstation:integer:p:station[stationname],is_add:integer:n,fare:integer:n
青い森鉄道,目時,八戸,0,660
青い森鉄道,目時,野辺地,0,1750
青い森鉄道,目時,青森,0,3030
青い森鉄道,八戸,野辺地,0,1300
青い森鉄道,八戸,青森,0,2220
青い森鉄道,野辺地,青森,0,1010
いわて銀河,盛岡,好摩,0,630
いわて銀河,盛岡,目時,0,2300
いわて銀河,好摩,目時,0,1760
北越急行,六日町,十日町,0,290
北越急行,六日町,犀潟,0,950
北越急行,十日町,犀潟,0,780
伊勢鉄道,河原田,津,0,490
智頭急行,上郡,佐用,0,470
智頭急行,上郡,智頭,0,1260
智頭急行,佐用,智頭,0,900
土佐くろしお,窪川,若井,0,200
土佐くろしお,窪川,中村,0,1060
土佐くろしお,窪川,宿毛,0,1550
土佐くろしお,若井,中村,0,950
土佐くろしお,若井,宿毛,0,1420
土佐くろしお,中村,宿毛,0,610
